,Unnamed: 0,nelx,nely,did converge,Youngs modulus,circle 1 x,circle 1 y,circle 1 radius,force 1 x,force 1 y,circle 2 x,circle 2 y,circle 2 radius,force 1 x.1,force 2 y,circle 3 x,circle 3 y,circle 3 radius,force 3 x,force 3 y,True Mass,True Compliance,True Stress,Predicted Mass,Predicted Stress,Predicted Compliance
41,32,100,50,True,244540706961.692,0.84,0.72,0.1652688074351018,16015.723568729163,3414.6367343228108,0.43,0.27,0.1575596179935833,-144.3748153827199,8335.90020436576,1.76,0.42,0.1336358681153697,-15871.348753346443,-11750.536938688569,1210.037293480906,0.3243038877658484,4608811.658370717,632.22144,0.3889317650003807,13091782.554750511
42,33,100,50,True,342375495959.15656,0.28,0.72,0.1731496807517403,-8610.19026600434,-10520.242477431762,1.33,0.78,0.114111389148706,-7750.805392709448,2806.483983405736,1.65,0.26,0.1523588391757928,16360.995658713788,7713.758494026026,1136.2180305190072,3.011662937962528,55032648.39331841,778.438,-0.7008925310333635,39838405.30408921
43,34,100,50,True,228407852788.5941,1.69,0.71,0.1328522013438204,11068.897587831538,5760.7706819168425,0.21,0.28,0.1033393079949112,12719.813739032068,-1492.859262780194,0.56,0.27,0.1598138072299663,-23788.71132686361,-4267.911419136646,471.011980506481,0.2969088183860379,1949231.856132129,660.6322,0.1689714043015985,13746011.674645483
44,35,100,50,True,164501922865.78366,1.15,0.77,0.1186252822887879,-8666.435825088698,-4065.135401300378,1.34,0.39,0.1184134653277373,-17837.788319731248,4202.189450245531,1.66,0.42,0.1058577518310342,26504.224144819946,-137.05404894515274,288.4105824143602,1.5036239961015023,9453096.540782051,245.62549,0.0153750981635877,70816706.35865231
45,36,100,50,True,178694961733.02924,0.28,0.75,0.138851280209206,1322.6216868110075,-4858.775711273516,1.7,0.3,0.1908166547884029,10498.736626358614,7332.738212595605,1.53,0.77,0.121420271280393,-11821.358313169623,-2473.96250132209,575.5437226714736,0.6710169586952466,3475523.10939295,690.57434,-0.1969159481808799,9090450.793780943
46,37,100,50,True,66066818235.13009,0.3,0.66,0.1923188725419151,5386.248552668438,11250.430318385002,0.97,0.24,0.1264617959367525,-2985.833516525203,4731.847908003086,1.79,0.79,0.1009777897011872,-2400.415036143235,-15982.278226388084,609.2758575680224,1.220558877884005,4058767.883688698,396.1929,-4.440965631680646,80262103.1963856
47,38,100,50,True,476889900265.6731,0.83,0.35,0.1405883466826016,12965.151368965056,6230.903283736169,0.23,0.79,0.1010152217972651,-9620.828232546211,-4625.457469114307,1.71,0.68,0.1788731464910442,-3344.323136418845,-1605.445814621862,880.3212646362267,0.0106349282078587,3208468.8671231074,733.56995,-5.017493618083302,17897653.334202573
48,39,100,50,False,280181950238.3878,0.29,0.24,0.1306573725048017,942.7016525777018,-7896.355149402777,0.62,0.29,0.111794052125081,5303.986467957187,8217.334642098918,1.71,0.29,0.1841191523275708,-6246.688120534889,-320.97949269614,1246.3516522069965,1.0012051398803283,30296453.6126194,594.28784,0.008357494347273,16312324.736965785
49,40,100,50,True,178415872789.9652,1.07,0.78,0.1136796438749744,2000.9251471693483,-4577.998310414626,0.97,0.5,0.1241774560821217,11230.531789375344,-3030.362041740529,1.69,0.33,0.1979430449395778,-13231.456936544697,7608.360352155157,492.815389884357,-0.4078319310899964,1567065.6599175462,529.475,-0.0822086079479962,2113078.4127263324
50,41,100,50,True,263098406037.67996,0.57,0.79,0.1019870327316104,12351.993006404104,3544.474554065606,1.43,0.72,0.168466306014247,13785.871776502448,-4045.107713714194,0.94,0.23,0.1178504399890637,-26137.86478290655,500.6331596485872,881.0559209070509,1.7937481240573168,2692445.425644594,619.42126,-0.2552900859737266,26931077.243213717
